freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.800e+02,1.579e+01,1.350e+01,6.093e+02
1.5,3.358e+02,2.878e+01,1.814e+01,3.827e+02
3.0,3.221e+01,2.305e+01,1.380e+01,6.906e+01
4.5,2.757e+02,2.294e+01,1.384e+01,3.125e+02
6.1,1.084e+03,2.465e+01,1.531e+01,1.124e+03
7.6,1.844e+03,3.215e+01,1.576e+01,1.892e+03
9.1,2.727e+03,3.802e+01,1.539e+01,2.781e+03
10.6,3.854e+03,4.112e+01,1.520e+01,3.911e+03
12.1,5.049e+03,4.225e+01,1.608e+01,5.107e+03
13.6,6.281e+03,5.322e+01,1.690e+01,6.351e+03
15.1,8.121e+03,6.935e+01,1.632e+01,8.207e+03
16.7,1.026e+04,8.124e+01,1.854e+01,1.036e+04
18.2,1.224e+04,1.231e+02,2.055e+01,1.238e+04
19.7,1.460e+04,1.155e+02,3.480e+01,1.475e+04
21.2,1.712e+04,1.242e+02,6.175e+01,1.731e+04
22.7,2.104e+04,1.558e+02,8.144e+01,2.127e+04
24.2,2.571e+04,1.546e+02,1.110e+02,2.597e+04
25.7,3.062e+04,1.585e+02,1.328e+02,3.091e+04
27.3,3.523e+04,1.578e+02,9.813e+01,3.548e+04
28.8,4.156e+04,1.461e+02,5.124e+01,4.176e+04
30.3,4.997e+04,1.826e+02,7.249e+01,5.022e+04
31.8,5.645e+04,2.654e+02,8.461e+01,5.680e+04
33.3,6.273e+04,4.122e+02,6.461e+01,6.321e+04
34.8,7.286e+04,6.589e+02,5.679e+01,7.358e+04
36.4,8.729e+04,9.915e+02,7.046e+01,8.835e+04
37.9,1.061e+05,1.550e+03,1.275e+02,1.078e+05
39.4,1.293e+05,2.775e+03,2.860e+02,1.324e+05
40.9,1.599e+05,4.727e+03,5.912e+02,1.652e+05
42.4,2.002e+05,6.965e+03,1.014e+03,2.081e+05
43.9,2.559e+05,9.408e+03,1.599e+03,2.669e+05
45.4,3.365e+05,1.077e+04,2.222e+03,3.495e+05
47.0,4.373e+05,1.024e+04,2.485e+03,4.500e+05
48.5,5.461e+05,1.109e+04,3.254e+03,5.605e+05
50.0,7.393e+05,1.431e+04,6.237e+03,7.599e+05
51.5,1.026e+06,1.769e+04,1.142e+04,1.055e+06
53.0,1.318e+06,1.924e+04,1.651e+04,1.354e+06
54.5,1.459e+06,1.719e+04,2.026e+04,1.497e+06
56.0,1.524e+06,1.634e+04,2.468e+04,1.565e+06
57.6,1.528e+06,1.924e+04,2.818e+04,1.576e+06
59.1,1.485e+06,1.802e+04,2.172e+04,1.525e+06
60.6,1.338e+06,1.569e+04,1.298e+04,1.366e+06
62.1,1.169e+06,1.289e+04,9.868e+03,1.192e+06
63.6,1.025e+06,8.508e+03,8.002e+03,1.042e+06
65.1,8.110e+05,3.990e+03,4.786e+03,8.198e+05
66.6,5.851e+05,1.551e+03,1.881e+03,5.885e+05
68.2,4.122e+05,9.184e+02,9.741e+02,4.141e+05
69.7,2.809e+05,9.244e+02,1.917e+03,2.837e+05
71.2,1.983e+05,9.574e+02,3.201e+03,2.025e+05
72.7,1.413e+05,9.781e+02,4.184e+03,1.464e+05
74.2,1.124e+05,1.073e+03,4.627e+03,1.181e+05
75.7,1.127e+05,1.052e+03,4.247e+03,1.180e+05
77.2,1.421e+05,7.801e+02,3.214e+03,1.461e+05
78.8,1.947e+05,3.708e+02,1.800e+03,1.969e+05
80.3,2.888e+05,4.667e+02,1.206e+03,2.904e+05
81.8,4.188e+05,1.419e+03,1.404e+03,4.217e+05
83.3,4.510e+05,2.661e+03,1.255e+03,4.549e+05
84.8,4.101e+05,4.026e+03,9.613e+02,4.151e+05
86.3,3.799e+05,5.672e+03,9.488e+02,3.865e+05
87.8,3.570e+05,7.863e+03,1.662e+03,3.665e+05
89.4,3.497e+05,7.626e+03,1.954e+03,3.592e+05
90.9,3.598e+05,7.783e+03,2.159e+03,3.697e+05
92.4,3.532e+05,1.122e+04,3.603e+03,3.680e+05
93.9,3.201e+05,1.069e+04,3.581e+03,3.344e+05
95.4,2.690e+05,9.794e+03,3.342e+03,2.821e+05
96.9,2.324e+05,1.090e+04,4.507e+03,2.478e+05
98.5,2.154e+05,1.440e+04,7.741e+03,2.376e+05
100.0,2.370e+05,1.882e+04,1.174e+04,2.675e+05
101.5,2.481e+05,1.972e+04,1.351e+04,2.814e+05
103.0,2.445e+05,1.901e+04,1.399e+04,2.775e+05
