freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.467e+01,5.107e+02,6.076e+01,5.861e+02
1.5,3.711e+01,3.088e+02,4.728e+01,3.932e+02
3.0,4.141e+01,3.625e+01,1.929e+01,9.695e+01
4.5,3.662e+01,3.021e+02,2.058e+01,3.593e+02
6.1,3.652e+01,1.166e+03,2.661e+01,1.229e+03
7.6,4.172e+01,1.973e+03,3.155e+01,2.046e+03
9.1,4.207e+01,2.956e+03,4.524e+01,3.044e+03
10.6,5.690e+01,4.344e+03,6.109e+01,4.462e+03
12.1,8.768e+01,6.206e+03,8.417e+01,6.378e+03
13.6,8.852e+01,8.665e+03,1.264e+02,8.880e+03
15.2,9.491e+01,1.143e+04,1.700e+02,1.169e+04
16.7,1.289e+02,1.388e+04,1.957e+02,1.420e+04
18.2,8.673e+01,1.651e+04,1.985e+02,1.679e+04
19.7,1.518e+02,2.027e+04,2.832e+02,2.070e+04
21.2,1.620e+02,2.816e+04,3.552e+02,2.868e+04
22.7,1.524e+02,4.057e+04,4.823e+02,4.120e+04
24.3,2.450e+02,5.526e+04,7.586e+02,5.626e+04
25.8,4.305e+02,5.990e+04,1.066e+03,6.140e+04
27.3,9.716e+02,7.314e+04,1.108e+03,7.522e+04
28.8,1.519e+03,1.013e+05,1.106e+03,1.039e+05
30.3,1.573e+03,1.130e+05,1.745e+03,1.163e+05
31.8,1.461e+03,1.247e+05,2.761e+03,1.289e+05
33.4,1.093e+03,1.635e+05,4.337e+03,1.689e+05
34.9,1.123e+03,2.570e+05,7.752e+03,2.658e+05
36.4,1.685e+03,4.460e+05,1.621e+04,4.639e+05
37.9,2.078e+03,7.826e+05,3.401e+04,8.187e+05
39.4,2.289e+03,1.107e+06,5.581e+04,1.165e+06
40.9,1.874e+03,1.089e+06,6.317e+04,1.154e+06
42.4,9.317e+02,8.916e+05,5.965e+04,9.521e+05
44.0,9.584e+02,7.433e+05,5.586e+04,8.001e+05
45.5,1.621e+03,6.333e+05,5.530e+04,6.903e+05
47.0,3.011e+03,5.415e+05,4.895e+04,5.935e+05
48.5,4.085e+03,4.839e+05,4.502e+04,5.330e+05
50.0,3.436e+03,4.251e+05,4.605e+04,4.746e+05
51.5,4.608e+03,3.849e+05,4.969e+04,4.392e+05
53.1,9.274e+03,3.546e+05,5.637e+04,4.202e+05
54.6,1.675e+04,3.216e+05,6.642e+04,4.048e+05
56.1,2.460e+04,2.890e+05,7.997e+04,3.936e+05
57.6,3.066e+04,2.670e+05,9.565e+04,3.933e+05
59.1,2.770e+04,2.537e+05,1.214e+05,4.028e+05
60.6,2.611e+04,2.242e+05,1.521e+05,4.024e+05
62.2,2.895e+04,1.837e+05,1.772e+05,3.899e+05
63.7,2.824e+04,1.351e+05,1.851e+05,3.483e+05
65.2,2.604e+04,8.887e+04,1.553e+05,2.703e+05
66.7,1.830e+04,6.029e+04,1.169e+05,1.955e+05
68.2,1.091e+04,4.330e+04,9.083e+04,1.450e+05
69.7,6.426e+03,2.997e+04,7.079e+04,1.072e+05
71.3,3.264e+03,2.307e+04,5.175e+04,7.808e+04
72.8,1.781e+03,2.117e+04,3.968e+04,6.263e+04
74.3,1.422e+03,1.949e+04,3.402e+04,5.493e+04
75.8,1.910e+03,1.605e+04,2.949e+04,4.746e+04
77.3,2.933e+03,1.405e+04,2.589e+04,4.287e+04
78.8,2.975e+03,1.565e+04,2.467e+04,4.330e+04
80.3,3.421e+03,1.847e+04,2.045e+04,4.234e+04
81.9,5.910e+03,2.122e+04,1.653e+04,4.367e+04
83.4,7.391e+03,2.346e+04,1.372e+04,4.457e+04
84.9,6.118e+03,2.310e+04,1.012e+04,3.934e+04
86.4,5.340e+03,2.199e+04,7.100e+03,3.443e+04
87.9,6.917e+03,2.273e+04,5.083e+03,3.473e+04
89.4,1.328e+04,2.575e+04,4.484e+03,4.352e+04
91.0,2.379e+04,2.831e+04,5.276e+03,5.738e+04
92.5,3.727e+04,2.854e+04,6.579e+03,7.239e+04
94.0,4.457e+04,2.180e+04,5.967e+03,7.233e+04
95.5,4.670e+04,1.316e+04,4.617e+03,6.448e+04
97.0,4.782e+04,6.561e+03,3.448e+03,5.782e+04
98.5,4.481e+04,3.057e+03,3.245e+03,5.111e+04
100.1,3.550e+04,1.885e+03,3.425e+03,4.081e+04
101.6,2.388e+04,1.750e+03,3.120e+03,2.875e+04
103.1,1.317e+04,1.790e+03,2.614e+03,1.758e+04
104.6,6.424e+03,2.116e+03,2.296e+03,1.084e+04
106.1,3.528e+03,2.037e+03,1.827e+03,7.391e+03
107.6,3.038e+03,1.721e+03,1.308e+03,6.067e+03
109.2,4.410e+03,1.401e+03,8.095e+02,6.621e+03
110.7,5.762e+03,1.371e+03,5.025e+02,7.635e+03
112.2,5.927e+03,2.421e+03,4.953e+02,8.843e+03
113.7,5.707e+03,4.034e+03,6.147e+02,1.036e+04
115.2,5.910e+03,5.302e+03,6.677e+02,1.188e+04
116.7,6.886e+03,6.741e+03,6.799e+02,1.431e+04
118.2,7.347e+03,7.881e+03,7.654e+02,1.599e+04
119.8,7.195e+03,8.580e+03,8.366e+02,1.661e+04
121.3,7.177e+03,9.660e+03,7.804e+02,1.762e+04
122.8,7.486e+03,1.062e+04,7.503e+02,1.886e+04
124.3,7.811e+03,1.129e+04,7.234e+02,1.982e+04
125.8,7.975e+03,1.156e+04,6.407e+02,2.017e+04
127.3,8.809e+03,1.164e+04,6.178e+02,2.107e+04
128.9,1.009e+04,1.204e+04,6.404e+02,2.277e+04
130.4,1.114e+04,1.187e+04,6.198e+02,2.363e+04
131.9,1.043e+04,1.032e+04,5.825e+02,2.133e+04
133.4,5.317e+03,4.338e+03,3.562e+02,1.001e+04
134.9,2.286e+03,9.741e+02,1.914e+02,3.451e+03
136.4,2.291e+03,8.942e+02,1.820e+02,3.367e+03
138.0,2.238e+03,8.296e+02,1.683e+02,3.236e+03
139.5,2.186e+03,8.547e+02,1.561e+02,3.197e+03
141.0,2.266e+03,9.009e+02,1.568e+02,3.324e+03
142.5,2.283e+03,9.419e+02,1.524e+02,3.377e+03
144.0,2.172e+03,7.019e+02,1.631e+02,3.037e+03
145.5,2.424e+03,4.976e+02,2.177e+02,3.139e+03
147.0,2.189e+03,4.978e+02,2.460e+02,2.933e+03
148.6,2.129e+03,5.731e+02,2.759e+02,2.978e+03
150.1,1.998e+03,6.247e+02,2.695e+02,2.893e+03
151.6,1.828e+03,7.122e+02,2.643e+02,2.804e+03
153.1,1.599e+03,8.283e+02,2.638e+02,2.691e+03
154.6,1.541e+03,9.330e+02,3.007e+02,2.775e+03
156.1,1.420e+03,9.409e+02,2.733e+02,2.634e+03
157.7,1.443e+03,1.070e+03,2.727e+02,2.786e+03
159.2,1.413e+03,1.179e+03,2.894e+02,2.881e+03
160.7,1.343e+03,1.139e+03,3.112e+02,2.793e+03
162.2,1.382e+03,1.138e+03,3.949e+02,2.915e+03
163.7,1.540e+03,1.303e+03,5.019e+02,3.344e+03
165.2,1.453e+03,1.325e+03,5.093e+02,3.287e+03
166.8,1.462e+03,1.393e+03,5.270e+02,3.382e+03
168.3,1.496e+03,1.456e+03,5.407e+02,3.493e+03
169.8,1.412e+03,1.386e+03,5.028e+02,3.301e+03
171.3,1.330e+03,1.420e+03,5.396e+02,3.289e+03
172.8,1.221e+03,1.824e+03,6.324e+02,3.677e+03
174.3,1.116e+03,2.361e+03,8.187e+02,4.295e+03
175.9,1.105e+03,2.314e+03,9.719e+02,4.391e+03
177.4,1.247e+03,2.618e+03,1.041e+03,4.906e+03
178.9,1.267e+03,2.640e+03,1.139e+03,5.046e+03
180.4,1.086e+03,2.795e+03,1.293e+03,5.175e+03
181.9,9.899e+02,2.974e+03,1.471e+03,5.434e+03
183.4,9.387e+02,3.300e+03,1.694e+03,5.933e+03
184.9,9.466e+02,3.731e+03,2.041e+03,6.719e+03
186.5,9.017e+02,4.363e+03,2.519e+03,7.784e+03
188.0,9.627e+02,5.576e+03,3.283e+03,9.822e+03
189.5,1.023e+03,6.792e+03,3.975e+03,1.179e+04
191.0,9.990e+02,7.779e+03,4.389e+03,1.317e+04
192.5,1.003e+03,8.790e+03,4.780e+03,1.457e+04
194.0,1.117e+03,9.846e+03,5.609e+03,1.657e+04
195.6,1.265e+03,1.105e+04,6.527e+03,1.885e+04
197.1,1.402e+03,1.293e+04,7.694e+03,2.203e+04
198.6,1.609e+03,1.371e+04,9.592e+03,2.491e+04
